Opening serial port 'COM25'
Connection opened.
-I- === Initialize eMMC access ===
Detected memory size is 3925868544 bytes.
Page size is 512 bytes.
Buffer is 88576 bytes (173 pages) at address 0x0022a440.
-I- === Load images on eMMC ===
Wrote 88576 bytes at address 0x00000000 (0.01%)
Wrote 88576 bytes at address 0x00015a00 (0.02%)
Wrote 88576 bytes at address 0x0002b400 (0.02%)
Wrote 88576 bytes at address 0x00040e00 (0.03%)
Wrote 88576 bytes at address 0x00056800 (0.04%)
Wrote 88576 bytes at address 0x0006c200 (0.05%)
Wrote 88576 bytes at address 0x00081c00 (0.06%)
Wrote 88576 bytes at address 0x00097600 (0.07%)
Wrote 88576 bytes at address 0x000ad000 (0.07%)
Wrote 88576 bytes at address 0x000c2a00 (0.08%)
Wrote 88576 bytes at address 0x000d8400 (0.09%)
Wrote 88576 bytes at address 0x000ede00 (0.10%)
Wrote 88576 bytes at address 0x00103800 (0.11%)
Wrote 88576 bytes at address 0x00119200 (0.12%)
Wrote 88576 bytes at address 0x0012ec00 (0.12%)
Wrote 88576 bytes at address 0x00144600 (0.13%)
Wrote 88576 bytes at address 0x0015a000 (0.14%)
Wrote 88576 bytes at address 0x0016fa00 (0.15%)
Wrote 88576 bytes at address 0x00185400 (0.16%)
Wrote 88576 bytes at address 0x0019ae00 (0.16%)
Wrote 88576 bytes at address 0x001b0800 (0.17%)
Wrote 88576 bytes at address 0x001c6200 (0.18%)
Wrote 88576 bytes at address 0x001dbc00 (0.19%)
Wrote 88576 bytes at address 0x001f1600 (0.20%)
Wrote 88576 bytes at address 0x00207000 (0.21%)
Wrote 88576 bytes at address 0x0021ca00 (0.21%)
Wrote 88576 bytes at address 0x00232400 (0.22%)
Wrote 88576 bytes at address 0x00247e00 (0.23%)
Wrote 88576 bytes at address 0x0025d800 (0.24%)
Wrote 88576 bytes at address 0x00273200 (0.25%)
Wrote 88576 bytes at address 0x00288c00 (0.26%)
Wrote 88576 bytes at address 0x0029e600 (0.26%)
Wrote 88576 bytes at address 0x002b4000 (0.27%)
Wrote 88576 bytes at address 0x002c9a00 (0.28%)
Wrote 88576 bytes at address 0x002df400 (0.29%)
Wrote 88576 bytes at address 0x002f4e00 (0.30%)
Wrote 88576 bytes at address 0x0030a800 (0.31%)
Wrote 88576 bytes at address 0x00320200 (0.31%)
Wrote 88576 bytes at address 0x00335c00 (0.32%)
Wrote 88576 bytes at address 0x0034b600 (0.33%)
Wrote 88576 bytes at address 0x00361000 (0.34%)
Wrote 88576 bytes at address 0x00376a00 (0.35%)
Wrote 88576 bytes at address 0x0038c400 (0.35%)
Wrote 88576 bytes at address 0x003a1e00 (0.36%)
Wrote 88576 bytes at address 0x003b7800 (0.37%)
Wrote 88576 bytes at address 0x003cd200 (0.38%)
Wrote 88576 bytes at address 0x003e2c00 (0.39%)
Wrote 88576 bytes at address 0x003f8600 (0.40%)
Wrote 88576 bytes at address 0x0040e000 (0.40%)
Wrote 88576 bytes at address 0x00423a00 (0.41%)
Wrote 88576 bytes at address 0x00439400 (0.42%)
Wrote 88576 bytes at address 0x0044ee00 (0.43%)
Wrote 88576 bytes at address 0x00464800 (0.44%)
Wrote 88576 bytes at address 0x0047a200 (0.45%)
Wrote 88576 bytes at address 0x0048fc00 (0.45%)
Wrote 88576 bytes at address 0x004a5600 (0.46%)
Wrote 88576 bytes at address 0x004bb000 (0.47%)
Wrote 88576 bytes at address 0x004d0a00 (0.48%)
Wrote 88576 bytes at address 0x004e6400 (0.49%)
Wrote 88576 bytes at address 0x004fbe00 (0.49%)
Wrote 88576 bytes at address 0x00511800 (0.50%)
Wrote 88576 bytes at address 0x00527200 (0.51%)
Wrote 88576 bytes at address 0x0053cc00 (0.52%)
Wrote 88576 bytes at address 0x00552600 (0.53%)
Wrote 88576 bytes at address 0x00568000 (0.54%)
Wrote 88576 bytes at address 0x0057da00 (0.54%)
Wrote 88576 bytes at address 0x00593400 (0.55%)
Wrote 88576 bytes at address 0x005a8e00 (0.56%)
Wrote 88576 bytes at address 0x005be800 (0.57%)
Wrote 88576 bytes at address 0x005d4200 (0.58%)
Wrote 88576 bytes at address 0x005e9c00 (0.59%)
Wrote 88576 bytes at address 0x005ff600 (0.59%)
Wrote 88576 bytes at address 0x00615000 (0.60%)
Wrote 88576 bytes at address 0x0062aa00 (0.61%)
Wrote 88576 bytes at address 0x00640400 (0.62%)
Wrote 88576 bytes at address 0x00655e00 (0.63%)
Wrote 88576 bytes at address 0x0066b800 (0.64%)
Wrote 88576 bytes at address 0x00681200 (0.64%)
Wrote 88576 bytes at address 0x00696c00 (0.65%)
Wrote 88576 bytes at address 0x006ac600 (0.66%)
Wrote 88576 bytes at address 0x006c2000 (0.67%)
Wrote 88576 bytes at address 0x006d7a00 (0.68%)
Wrote 88576 bytes at address 0x006ed400 (0.68%)
Wrote 88576 bytes at address 0x00702e00 (0.69%)
Wrote 88576 bytes at address 0x00718800 (0.70%)
Wrote 88576 bytes at address 0x0072e200 (0.71%)
Wrote 88576 bytes at address 0x00743c00 (0.72%)
Wrote 88576 bytes at address 0x00759600 (0.73%)
Wrote 88576 bytes at address 0x0076f000 (0.73%)
Wrote 88576 bytes at address 0x00784a00 (0.74%)
Wrote 88576 bytes at address 0x0079a400 (0.75%)
Wrote 88576 bytes at address 0x007afe00 (0.76%)
Wrote 88576 bytes at address 0x007c5800 (0.77%)
Wrote 88576 bytes at address 0x007db200 (0.78%)
Wrote 88576 bytes at address 0x007f0c00 (0.78%)
Wrote 88576 bytes at address 0x00806600 (0.79%)
Wrote 88576 bytes at address 0x0081c000 (0.80%)
Wrote 88576 bytes at address 0x00831a00 (0.81%)
Wrote 88576 bytes at address 0x00847400 (0.82%)
Wrote 88576 bytes at address 0x0085ce00 (0.82%)
Wrote 88576 bytes at address 0x00872800 (0.83%)
Wrote 88576 bytes at address 0x00888200 (0.84%)
Wrote 88576 bytes at address 0x0089dc00 (0.85%)
Wrote 88576 bytes at address 0x008b3600 (0.86%)
Wrote 88576 bytes at address 0x008c9000 (0.87%)
